author_id,username,name,description,followers_count,following_count,tweet_count,created_at,party,start,end
53426644,GrueneBeate,Beate Müller-Gemmeke,"Hier twittert Beate Müller-Gemmeke, grüne Bundestagsabgeordnete, Berichterstatterin für Arbeitnehmer:innenrechte und aktive Arbeitsmarktpolitik",5882,1200,9599,2009-07-03 16:20:17+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
53351462,TabeaRoessner,Tabea Rößner,"Grüne Bundestagsabgeordnete aus Mainz, Vors. des Digitalausschusses, Themen: Alles rund um #Digitales, #Verbraucherschutz, #Medienpolitik, Team twittert mit",13855,1434,14520,2009-07-03 10:29:25+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
52431948,ebner_sha,Harald Ebner,"Mitglied des Deutschen Bundestags\n #Grün #MdB, #Gentechnik #Biodiv #Agrarpolitik #ökologische #Ökonomie",5533,705,7758,2009-06-30 15:56:19+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
52024480,DJanecek,Dieter Janecek,Wirtschaftspolitischer Sprecher + Leiter AG Wirtschaft @gruenebundestag\nStvtr. Mitglied in den Ausschüssen Klima/Energie + Bildung/Forschung. 💚 Elektromobilität,14606,1864,51612,2009-06-29 11:02:16+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
51483238,thomasgebhart,Thomas Gebhart MdB,🌄 Für eine starke Südpfalz. \n🗳 Bundestagsabgeordneter,2927,631,1501,2009-06-27 16:33:33+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
50932086,rischwasu,Rita Schwarzelühr-Sutter,"MdB, SPD Politikerin, PStin BMI. Views are my own!",4445,697,6154,2009-06-26 05:09:54+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
50315139,andreasscheuer,Andreas Scheuer,Für mehr Miteinander im Verkehr. Für klimafreundliche & digitale Innovation. MdB im Wahlkreis Passau.,62077,423,3451,2009-06-24 14:13:25+00:00,CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
47375691,SWagenknecht,Sahra Wagenknecht,Mitglied des Deutschen Bundestages,580918,63,2113,2009-06-15 16:33:09+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
47151012,UweFe,Uwe Feiler,,217,0,1,2009-06-14 19:05:12+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
46498076,stonie_kiel,Mathias Stein,"Bundestagsabgeordneter (SPD) aus Kiel, Mitglied im Verkehrsausschuss #Radverkehr #EMobilität #Binnenschifffahrt",2084,1214,4231,2009-06-11 21:36:58+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
46356949,MartinRabanus,Martin Rabanus,Bundestagsabgeordneter im Wahlkreis 178 Rheingau-Taunus-Limburg,1446,437,546,2009-06-11 10:05:20+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
44608858,MarcHenrichmann,Marc Henrichmann,"Leidenschaftlicher Münsterländer. Für den Wahlkreis Coesfeld-Steinfurt II im Deutschen Bundestag. CDU. Faible für Innenpolitik und den offenen, fairen Dialog.",875,631,809,2009-06-04 12:56:07+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
44359035,Ingrid_Nestle,Ingrid Nestle,"MdB und Sprecherin für Klimaschutz und Energie bei @GrueneBundestag\nBundestagsabgeordnete WK 3\nWirtschaftsingenieurin, #Klimaaretterin",4198,671,1708,2009-06-03 13:34:51+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
42698498,RKiesewetter,Roderich Kiesewetter🇪🇺🇩🇪🇺🇳🇺🇦,"#MdB - direktgewählt | Sprecher #Krisenprävention, Obmann #Außenpolitik, stvV #PKGr | #Sicherheitspolitik | #CDU | Oberst iG aD | Views my own RT≠endorsement",16699,8169,25492,2009-05-26 19:29:44+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
42401449,NielsAnnen,Niels Annen 🇪🇺,Mitglied des Bundestages. Hamburg-Eimsbüttel. Parlamentarischer Staatssekretär Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung. Hier privat,17413,1444,9528,2009-05-25 13:06:24+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
41840905,NadineSchoen,Nadine Schön,"Bundestagsabgeordnete für den Wahlkreis 298 (Saarland), CDU",11446,1524,3661,2009-05-22 16:06:06+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
39709752,KerstinGriese,Kerstin Griese,"Bundestagsabgeordnete (SPD) aus NRW, Parlamentarische Staatssekretärin beim Bundesminister für Arbeit und Soziales. EKD-Ratsmitglied. Twittere selbst.",7116,3136,13048,2009-05-13 07:41:00+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
38467606,juergenhardt,Jürgen Hardt MdB,Außenpolitischer Sprecher der CDU/CSU-Fraktion im deutschen Bundestag\nHier twittern Jürgen Hardt (JH) und das Team Hardt (TH)\nRT≠Endorsement,6587,673,4665,2009-05-07 16:53:05+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
38228691,starkwatzinger,Bettina Stark-Watzinger,Bundesministerin für Bildung und Forschung • MdB • Landesvorsitzende der FDP Hessen • Bürgerin • Aus vollem Herzen Mutter.,21960,1017,3595,2009-05-06 17:25:30+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
38001527,rbrinkhaus,Ralph Brinkhaus,"CDU-Bundestagsabgeordneter für den Kreis Gütersloh, Mitglied der @cducsubt. \nEs twittert hier vor allem sein Team.",30424,701,2789,2009-05-05 19:45:20+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
37642893,ChristianHirte,Christian Hirte,Mitglied des Deutschen Bundestages @cducsubt Landesvorsitzender der @cdu_thueringen,6730,288,13188,2009-05-04 11:44:48+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
37105136,tj_tweets,Thomas Jarzombek,Ihr Düsseldorfer im Bundestag // Sprecher der CDU/CSU-Fraktion für Bildung und Forschung,17502,965,10916,2009-05-02 01:39:20+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
36327895,SoenkeRix,Sönke Rix MdB,Schleswig-Holsteiner | Eckernförder | Sozialdemokrat | Volksvertreter | Christ | Erzieher | Gewerkschafter,6827,1648,12458,2009-04-29 10:16:00+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
34214048,meister_schafft,Dr. Michael Meister,,3708,1093,16213,2009-04-22 07:21:25+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
33071479,Erwin_Rueddel,Erwin Rüddel,CDU-MdB für die Region Rhein-Westerwald-Sieg. Politik - Sport - Gesundheit und digitale Vernetzung. Gesundheitsausschuss im Deutschen Bundestag,5290,296,16090,2009-04-19 00:47:55+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
33043294,VolkmarKlein,Volkmar Klein,"Mitglied des Deutschen Bundestags, \nAbgeordneter für Siegerland und Wittgenstein",1805,71,292,2009-04-18 23:02:55+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
32323724,fbrantner,Franziska Brantner,MdB direkt gewählt für Heidelberg Neckar/Bergstraße | Parlamentarische Staatssekretärin @BMWK | privater Kanal,15043,1291,7657,2009-04-17 05:48:29+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
30838821,Andreas_Rimkus,Andreas Rimkus,"ANDREAS RIMKUS - Bundestagsabgeordneter MdB - für Freiheit, Gerechtigkeit und Solidarität -",2380,1337,4790,2009-04-13 09:46:24+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
30050484,FrankSchwabe,Frank Schwabe #FreeAlexanderKabanov,"MdB, SPD, Beauftragter der Bundesregierung, Fraktionsvorsitzender, Schwerpunkte: Europarat, Menschenrechte, humanitäre Hilfe, internationaler Klimaschutz",9308,1148,12612,2009-04-09 19:39:53+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
29540300,bstrasser,Benjamin Strasser,mitglied @bundestag der @fdpbt 🏛💛 | parlamentarischer staatssekretär @bmj_bund ⚖️👨‍⚖️ | präsident @bmco_verband 🎶 | oberschwabe | ts = team,5940,2041,3327,2009-04-07 20:46:18+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
28784085,MartinRosemann,Dr. Martin Rosemann,"MdB für Tübingen-Hechingen, Arbeitsmarkt- und Sozialpolitischer Sprecher der SPD-Bundestagsfraktion, Mitglied im Vorstand der SPD-Bundestagsfraktion",2759,1226,18923,2009-04-04 12:29:11+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
28446356,VolkerUllrich,Volker Ullrich,"Mitglied des Deutschen Bundestages, CDU/CSU-Fraktion. Jurist, Diplom-Kaufmann. Wahlkreis Augsburg-Stadt. CSU-Bezirksvorsitzender.",4379,1346,2706,2009-04-02 23:25:37+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
28327765,DanielaKluckert,Daniela Kluckert,"FDP-Bundestagsabgeordnete, Parlamentarische Staatssekretärin BMDV, Vors. FDP Pankow, stellv. Landesvors. FDP Berlin, Mitglied Bundesvorstand FDP/ es twittert DK",5788,1016,2212,2009-04-02 12:28:07+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
28089973,josefoster,Josef Oster,"Bundestagsabgeordneter, direkt gewählt im Wahlkreis 199 - Koblenz",749,278,272,2009-04-01 11:40:24+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
25980076,cad59,Christine Aschenberg-Dugnus MdB,Parlamentarische Geschäftsführerin der @fdpbt \nVorsitzende BFA FDP Gesundheit \nRechtsanwältin,3769,161,2037,2009-03-23 10:24:55+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
24178198,LoetzschMdB,Gesine Lötzsch,"MdB, Direktmandat im Wahlkreis Berlin-Lichtenberg | Stellvertretende Fraktionsvorsitzende | hier twittert Gesine und Team",7480,1502,7682,2009-03-13 14:23:41+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
24158261,HeikoMaas,Heiko Maas 🇪🇺,"Saarländer. Mitglied des Deutschen Bundestages, SPD. Bundesminister a.D. Hier twittert hauptsächlich das Team von Heiko Maas. | Impressum: https://t.co/7CDQPxEIb9",463007,3478,7187,2009-03-13 11:37:00+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
23925041,SteffenBilger,Steffen Bilger,"MdB Wahlkreis Ludwigsburg, stv. Vorsitzender CDU/CSU-Bundestagsfraktion, Vorsitzender CDU Nordwürttemberg",5524,924,3518,2009-03-12 09:30:05+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
23447001,AMattfeldt,Andreas Mattfeldt,Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur,529,159,140,2009-03-09 15:22:39+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
23296367,Ingmar_Jung,Ingmar Jung,Bundestagsabgeordneter für den Wahlkreis Wiesbaden.,1760,643,728,2009-03-08 10:47:11+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
23248102,CanselK,Cansel Kiziltepe,"Ökonomin, Abgeordnete @spdbt, Vorsitzende @afa_spd und parlamentarische Staatssekretärin im @BMWSB_Bund.",10598,2587,5930,2009-03-07 23:27:23+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
22908417,JM_Luczak,Dr. Jan-Marco Luczak,MdB aus Berlin 🏛 | Sprecher der CDU/CSU für Bauen und Wohnen 🏗 | engagiert für Tempelhof-Schöneberg ❤️ | Rechtsanwalt 👨‍⚖️,6847,689,5073,2009-03-05 11:25:35+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
22364234,MarcusFaber,Marcus Faber,MdB @fdpbt | verteidigungspolitischer Sprecher 🚀 | FDP-Bundesvorstand | stellv. Landesvorsitzender @fdp_lsa | Stadtrat #Stendal,4345,999,7125,2009-03-01 13:59:34+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
22125770,ekindeligoez,Ekin Deligöz,MdB @GrueneBundestag aus Neu-Ulm und Region | Parlamentarische Staatssekretärin bei #BMFSFJ | #Kinder- und #Familienpolitik |hier privat,10497,1676,11865,2009-02-27 09:59:05+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
21618829,josephineortleb,"Josephine Ortleb, MdB","Saarbrückerin, Gewerkschafterin, Sozialdemokratin,\nBundestagsabgeordnete, Parlamentarische Geschäftsführerin,\nGerman MP",4461,592,582,2009-02-23 01:13:58+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
21404382,CarenLay,Caren Lay,"Aktivistin • Politikerin (MdB, DIE #LINKE) • Feministin •  Wk #Bautzen • #Mietenwahnsinnstoppen • #Clubsterbenstoppen • Youtube: https://t.co/CpmbrhmRAe",11952,1355,6298,2009-02-20 15:21:06+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
21287514,voglerk,"Kathrin Vogler, MdB","Linkes Landei. #Bundestag @linksfraktion, twittert zu #Abrüstung, #Frieden, #Gesundheit, #Pflege, #Queer, #Politik allgemein. 🏳️‍🌈🚩🐝🕊🦠",5688,2597,11462,2009-02-19 10:10:30+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
21267421,KatrinHelling,Katrin Helling-Plahr,MdB | Rechtspolitische Sprecherin der @fdpbt |Mitglied im Rechtsausschuss & Gesundheitsausschuss | Hagen-Ennepe-Ruhr-Kreis I |Rechtsanwältin | Mutter 2er Söhne,3128,1060,2285,2009-02-19 02:19:12+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
21197524,tobiaslindner,Dr. Tobias Lindner,"Mitglied des Deutschen #Bundestages, BÜNDNIS 90/DIE GRÜNEN, #Staatsminister im Auswärtigen Amt Impressum: https://t.co/CVQA3yyr5f",12243,2867,6420,2009-02-18 13:58:56+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
21144568,OlliLuksic,Oliver Luksic,Vorsitzender @fdpsaar Parlamentarischer Staatssekretär beim Bundesminister für Digitales und Verkehr,13731,3420,47177,2009-02-17 23:17:52+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
20840049,W_SK,Dr. Wolfgang Strengmann-Kuhn,"promovierter und habilitierter Volkswirt, MdB,  @GrueneBundestag,  #Armut #Arbeitsmarkt #Grundeinkommen #Soziales_Europa #Gender\nInstitut für Sozialökologie ISÖ",7630,3670,20825,2009-02-14 10:16:47+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
20534846,gero_storjohann,Gero Storjohann,MdB – Segeberg/Stormarn-Mitte (SH) | Sprecher für Radverkehr | Vorsitzender AG Petitionen,896,381,715,2009-02-10 18:58:21+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
19909974,PascalKober,Pascal Kober MdB,MdB II FDP II Arbeitsmarkt- und sozialpolitischer Sprecher II Stellvertretender Präsident Reservistenverband II 🏃🏼‍♂️ II 🏇🏻 II 🪂,985,215,342,2009-02-02 14:54:57+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
